,song,artist,cp,section,Track (last.fm),Artist (last.fm),Listener Count (last.fm),Play Count (last.fm),Genre (last.fm),Track (Spotify),Artist (Spotify),Popularity (Spotify),Release Date (Spotify)
998,What Would You Do,Bastille,"6,4,1,5",Verse,What Would You Do,Bastille,88736,500805,"cover, great, bastille, indie, pop",What Would You Do,Bastille,59.0,2013-01-01
999,What Would You Do,Bastille,"6,4,1,5",Chorus,What Would You Do,Bastille,88736,500805,"cover, great, bastille, indie, pop",What Would You Do,Bastille,59.0,2013-01-01
1000,Bad Blood,Taylor Swift,"6,4,1,5",Chorus,Bad Blood,Taylor Swift,208943,2684574,"pop, Chupa essa Katy perry, boring shit talentless flop, love at first listen, taylor swift",,,,
1001,At The Indie Disco,The Divine Comedy,"6,4,1,5",Bridge,At the Indie Disco,The Divine Comedy,37205,166441,"indie, lizvelrene2010, 2010, indie pop, The Divine Comedy",At the Indie Disco,The Divine Comedy,0.0,2010-05-31
1002,The Spirit of Jazz,The Gaslight Anthem,"6,4,1,5",Verse,The Spirit of Jazz,The Gaslight Anthem,67990,530329,"rock, alternative rock, punk rock, classic rock, guitar",The Spirit of Jazz,The Gaslight Anthem,35.0,2010-06-15
1003,The Navesink Banks,The Gaslight Anthem,"6,4,1,5",Verse,The Navesink Banks,The Gaslight Anthem,66684,515057,"acoustic, folk punk, punk, rock, orgcore",The Navesink Banks,The Gaslight Anthem,39.0,2007-05-29
1004,Cool Kids,Echosmith,"6,4,1,5",Chorus,Cool Kids,Echosmith,344570,2513891,"indie pop, pop, love at first listen, 2014, alternative rock",Cool Kids,Echosmith,72.0,2013-10-04
1005,Have Mercy,The Gaslight Anthem,"6,4,1,5",Verse,Have Mercy,The Gaslight Anthem,1640,18489,alternative rock,,,,
1006,Cool Kids,Echosmith,"6,4,1,5",Intro,Cool Kids,Echosmith,344570,2513891,"indie pop, pop, love at first listen, 2014, alternative rock",Cool Kids,Echosmith,72.0,2013-10-04
1007,Bold As Love,Jimi Hendrix,"6,4,1,5",Verse,Bold As Love,Jimi Hendrix,236200,927643,"classic rock, rock, blues, psychedelic, guitar",,,,
1008,The Captain,Biffy Clyro,"6,4,1,5",Verse,The Captain,Biffy Clyro,142128,1117436,"rock, alternative rock, alternative, seen live, Scottish",The Captain,Biffy Clyro,45.0,2009-11-06
1009,45,The Gaslight Anthem,"6,4,1,5",Chorus,45,The Gaslight Anthem,16062,165387,"punk rock, rock, american, seen live, americana",,,,
1010,Plastic Pop,Tomas Danko,"6,4,1,5",Verse,Plastic Pop,Tomas Danko,77,472,,,,,
1011,Needing - Getting,OK Go,"6,4,1,5",Verse,Needing - Getting,OK Go,39,166,,,,,
1012,Needing - Getting,OK Go,"6,4,1,5",Chorus,Needing - Getting,OK Go,39,166,,,,,
1013,Wicked Wonderland,Martin Tungevaag,"6,4,1,5",Solo,Wicked Wonderland,Martin Tungevaag,64683,381233,"catchy, saxophone, jazz, norwegian, Dreamy",,,,
1014,Tirer des caisses,Soldat Louis,"6,4,1,5",Chorus,Tirer des caisses,Soldat Louis,2188,9099,,Tirer des caisses,Soldat Louis,13.0,2017-10-06
1015,Sunshine,John Murphy,"6,4,1,5",Instrumental,Sunshine,John Murphy,3936,31213,"movie themes, Soundtrack, perfect, orchestral, ost",,,,
1016,Caramelldansen,Caramell,"6,4,1,5",Chorus,Caramelldansen,Caramell,28790,278097,"dance, swedish, eurodance, U-U-U-Aua, ultra brutal necrosatanic death metal",Caramelldansen,Caramell,58.0,2008-01-05
1017,It's a Beautiful Day,Michael Buble,"6,4,1,5",Verse,It's a Beautiful Day,Michael Bublé,108989,621262,"pop, jazz, Canadian, happy, guitar",It's a Beautiful Day,Michael Bublé,69.0,2013-04-11
1018,Hymne,Vangelis,"6,4,1,5",Intro and Verse,Hymne,Vangelis,22374,70613,"electronic, ambient, instrumental, new age, vangelis",,,,
1019,Divine Sorrow,Wyclef Jean,"6,4,1,5",Verse,Divine Sorrow,Wyclef Jean,42017,130772,"Avicii, BIG AND GREAT SONG",Divine Sorrow,Wyclef Jean,57.0,2014-11-24
1020,Poison,Alice Cooper,"6,4,1,5",Pre-Chorus and Chorus,Poison,Alice Cooper,622804,4198078,"hard rock, rock, classic rock, 80s, metal",Poison,Alice Cooper,72.0,1989-07-25
1021,Snowblind feat Tasha Baxter,Au5,"6,4,1,5",Intro,Snowblind feat Tasha Baxter,Au5,3,7,,,,,
1022,Fairytale of New York,The Pogues and Kirsty MacColl,"6,4,1,5",Verse,Fairytale Of New York,The Pogues And Kirsty MacColl,1113,8745,"80s, 1987, acclaimed music top 3000, critically acclaimed song",,,,
1023,When Can I See You Again,Owl City,"6,4,1,5",Pre-Chorus,When Can I See You Again?,Owl City,50676,406247,"electronic, Soundtrack, Disney, FUCKING AWESOME, pop",,,,
1024,When Can I See You Again,Owl City,"6,4,1,5",Chorus,When Can I See You Again?,Owl City,50676,406247,"electronic, Soundtrack, Disney, FUCKING AWESOME, pop",,,,
1025,Down,Jay Sean,"6,4,1,5",Chorus,Down,Jay Sean,302854,1543210,"pop, Jay Sean, dance, rnb, Down",Down,Jay Sean,78.0,2009-01-01
1026,Hey Boy,Teddybears,"6,4,1,5",Chorus,Hey boy,Teddybears,9209,42147,"electronica, Volvo Ocean Race, Shazaam",,,,
1027,The Imperial City,Motoi Sakuraba,"6,4,1,5",Verse,,,,,,,,,
1028,Fix You,Coldplay,"6,4,1,5",Bridge,Fix You,Coldplay,1518056,13163057,"Coldplay, rock, alternative, britpop, alternative rock",Fix You,Coldplay,83.0,2005-06-07
1029,Elastic Heart,Sia,"6,4,1,5",Chorus,Elastic Heart,Sia,400898,3961558,"pop, soul, r&b, sia, I love this song",Elastic Heart,Sia,68.0,2015-05-01
1030,Just A Dream,Nelly,"6,4,1,5",Chorus,Just A Dream,Nelly,394244,2567691,"Hip-Hop, Nelly, rnb, hip hop, 2010",,,,
1031,Elastic Heart,Sia,"6,4,1,5",Pre-Chorus,Elastic Heart,Sia,400898,3961558,"pop, soul, r&b, sia, I love this song",Elastic Heart,Sia,68.0,2015-05-01
1032,Nobody Compares,One Direction,"6,4,1,5",Verse,Nobody Compares,One Direction,52369,487724,"pop, male vocalists, overrated, fav, addictive",Nobody Compares,One Direction,60.0,2012-11-09
1033,Au Revoir,Mark Forster feat Sido,"6,4,1,5",Instrumental,Au Revoir,Mark Forster Feat Sido,29,121,,,,,
1034,The Cheat is Not Dead,Strong Bad,"6,4,1,5",Chorus,The Cheat Is Not Dead,Strong Bad,4398,19543,"comedy, homestarrunner, epic, geek, comedy favorites",The Cheat Is Not Dead,Strong Bad,15.0,2003-11-17
1035,Heart Attack ,One Direction,"6,4,1,5",Pre-Chorus,,,,,,,,,
1036,Alpha,Murtagh,"6,4,1,5",Chorus,Alpha,Murtagh,2746,6995,,,,,
1037,No One Else,Weezer,"6,4,1,5",Chorus,No One Else,Weezer,394322,1857910,"rock, alternative rock, alternative, 90s, weezer",No One Else,Weezer,53.0,1994-05-10
1038,Metal Gear,Harry Gregson-Williams,"6,4,1,5",Outro 1,Metal Gear,Harry Gregson-Williams,1395,5503,,,,,
1039,Sugaree,Grateful Dead,"6,4,1,5",Chorus,Sugaree,Grateful Dead,15381,110477,"rock, grateful dead, jamband, live, 70s",,,,
1040,Sugaree,Grateful Dead,"6,4,1,5",Verse and Pre-Chorus,Sugaree,Grateful Dead,15381,110477,"rock, grateful dead, jamband, live, 70s",,,,
1041,Right Here Right Now,Agnes,"6,4,1,5",Chorus,Right Here Right Now,Agnes,2266,14717,,,,,
1042,Elastic Heart,Sia,"6,4,1,5",Verse,Elastic Heart,Sia,400898,3961558,"pop, soul, r&b, sia, I love this song",Elastic Heart,Sia,68.0,2015-05-01
1043,Sun Goes Down,Robin Schulz ft Jasmine Thompson,"6,4,1,5",Verse,SUN GOES DOWN,Robin Schulz ft Jasmine Thompson,670,3757,,,,,
1044,Sun Goes Down,Robin Schulz ft Jasmine Thompson,"6,4,1,5",Pre-Chorus,SUN GOES DOWN,Robin Schulz ft Jasmine Thompson,670,3757,,,,,
1045,Space Unicorn,Parry Gripp,"6,4,1,5",Chorus,Space Unicorn,Parry Gripp,5890,35584,"rock band, Rock Band Network, happy, cute, Rainbow",Space Unicorn,Parry Gripp,50.0,2013-01-18
1046,Save Tonight,Eagle Eye Cherry,"6,4,1,5",Chorus,Save Tonight,Eagle-Eye Cherry,728429,4371984,"90s, rock, pop, alternative, pop rock",Save Tonight,Eagle-Eye Cherry,66.0,1998-07-13
1047,Elastic Heart,Sia,"6,4,1,5",Chorus Lead-Out,Elastic Heart,Sia,400898,3961558,"pop, soul, r&b, sia, I love this song",Elastic Heart,Sia,68.0,2015-05-01
1048,Crush,The Horrible Crowes,"6,4,1,5",Intro and Verse,Crush,The Horrible Crowes,17640,131795,"blues, rock, alternative rock, 8 of 10 stars, 2010s",,,,
1049,Crush,The Horrible Crowes,"6,4,1,5",Outro,Crush,The Horrible Crowes,17640,131795,"blues, rock, alternative rock, 8 of 10 stars, 2010s",,,,
1050,I Need Your Love,Calvin Harris,"6,4,1,5",Pre-Chorus,I Need Your Love,Calvin Harris,374206,2459541,"dance, electronic, pop, Disco, 2013",I Need Your Love,Calvin Harris,29.0,2012-01-01
1051,Mean,Taylor Swift,"6,4,1,5",Chorus,Mean,Taylor Swift,238373,1963150,"country, pop, female vocalists, taylor swift, country pop",Mean,Taylor Swift,63.0,2010-10-25
1052,Battlefield,Jordin Sparks,"6,4,1,5",Chorus,Battlefield,Jordin Sparks,267307,1469571,"pop, female vocalists, rnb, Jordin Sparks, 2009",Battlefield,Jordin Sparks,61.0,2009-07-17
1053,Beginning of time,Arthur,"6,4,1,5",Chorus,,,,,,,,,
1054,I Really Like You,Carly Rae Jepsen,"6,4,1,5",Chorus,I Really Like You,Carly Rae Jepsen,293251,2574567,"pop, 2015, catchy, love at first listen, Love",I Really Like You,Carly Rae Jepsen,67.0,2015-08-21
1055,Far Away,Tristam and Braken,"6,4,1,5",Chorus,Far Away,Tristam and Braken,13,46,,,,,
1056,Heart And Soul,Built By Titan,"6,4,1,5",Pre-Chorus,Heart And Soul,Built By Titan,11,107,,,,,
1057,Half Breed,Cher,"6,4,1,5",Verse,Half Breed,Cher,5640,22501,"70s, female vocalist, pop, soft rock, 80s",,,,
1058,Shipwrecked,Alestorm,"6,4,1,5",Verse and Pre-Chorus,Shipwrecked,Alestorm,53258,405115,"pirate metal, folk metal, Power metal, metal, rock band",Shipwrecked,Alestorm,44.0,2011-06-14
1059,Hey Defriender,Jonathan Mann,"6,4,1,5",Chorus,Hey Defriender,Jonathan Mann,1,12,,,,,
1060,Acoustic Curves,Animusic,"6,4,1,5",Verse,Acoustic Curves,Animusic,309,1823,"intrumental, smooth, animusic",,,,
1061,Flux,Bloc Party,"6,4,1,5",Chorus,Flux,Bloc Party,381827,2805003,"indie, electronic, indie rock, dance, alternative",Flux,Bloc Party,46.0,2007-02-06
1062,Good Girl,Carrie Underwood,"6,4,1,5",Chorus,Good Girl,Carrie Underwood,107682,708078,"country, pop, Carrie Underwood, female vocalists, country rock",Good Girl,Carrie Underwood,61.0,2012-05-01
1063,Everyone Else is an Asshole,Reel Big Fish,"6,4,1,5",Intro,Everyone Else is an Asshole,Reel Big Fish,22409,92159,"ska, ska punk, 6 of 10 stars, interesting title",,,,
1064,Cowgirl,Bambee,"6,4,1,5",Chorus,Cowgirl,Bambee,2050,11941,,,,,
1065,FM,Crayon Pop,"6,4,1,5",Chorus,FM,Crayon Pop,5689,88882,"k-pop, best of 2015, crayon pop, catchy, cute",,,,
1066,Sparks,Steerner ft Corey Saxon,"6,4,1,5",Verse and Pre-Chorus,,,,,,,,,
1067,The Hero,The Electric Warehouse,"6,4,1,5",Chorus,The Hero,The Electric Warehouse,1,1,,,,,
1068,Dragon,Miriam Bryant,"6,4,1,5",Verse and Pre-Chorus,Dragon,Miriam Bryant,10591,56145,"female vocalists, electropop, pop, soul, indie pop",,,,
1069,Dragon,Miriam Bryant,"6,4,1,5",Chorus,Dragon,Miriam Bryant,10591,56145,"female vocalists, electropop, pop, soul, indie pop",,,,
1070,Sea Of Love -Remix-,Daze,"6,4,1,5",Chorus,,,,,,,,,
1071,Sea Of Love -Remix-,Daze,"6,4,1,5",Verse and Pre-Chorus,,,,,,,,,
1072,Don't Look Down feat Usher,Martin Garrix,"6,4,1,5",Intro,Don't look down feat Usher,Martin Garrix,4,21,,,,,
1073,Vacation,Alphabeat,"6,4,1,5",Chorus,Vacation,Alphabeat,12374,75810,"pop, danish, dance, pop rock, catchy",,,,
1074,So Sad To Say,The Mighty Mighty Bosstones,"6,4,1,5",Chorus,So Sad To Say,The Mighty Mighty Bosstones,27623,123787,"ska, ska punk, the mighty mighty bosstones, punk, skacore",So Sad To Say,The Mighty Mighty Bosstones,33.0,2000-01-01
1075,What If,Emilie Autumn,"6,4,1,5",Chorus,What If,Emilie Autumn,15636,111544,"female vocalists, piano, victoriandustrial, Gothic, medieval",,,,
1076,Are You With Me,Lost Frequencies,"6,4,1,5",Chorus,Are You With Me,Lost Frequencies,80835,599962,"deep house, 2015, House, electronic, electronica",Are You With Me,Lost Frequencies,43.0,2018-04-20
1077,Going Through The Motions,Joss Whedon,"6,4,1,5",Verse,Going through the Motions,Joss Whedon,129,691,"quirky, musical, loved, Buffy, different",,,,
1078,One Day,Kodaline,"6,4,1,5",Bridge,One Day,Kodaline,102178,531692,"indie rock, nu jazz, seen live, indie, nujazz",,,,
1079,Lights,Journey,"6,4,1,5",Bridge,Lights,Journey,202701,873182,"classic rock, 80s, rock, journey, soft rock",Lights,Journey,61.0,1978
1080,Liberation,Marcus Warner,"6,4,1,5",Chorus,Liberation,Marcus Warner,454,3015,,,,,
1081,Stay With Me,Sy And Demo,"6,4,1,5",Chorus,Stay With Me,Sy & Demo,329,1154,happy hardcore,,,,
1082,Wings,Birdy,"6,4,1,5",Chorus,Wings,Birdy,218780,1596948,"pop, love at first listen, best of 2013, indie, british",Wings,Birdy,52.0,2013-09-16
1083,A Jackknife to a Swan,The Mighty Mighty Bosstones,"6,4,1,5",Chorus,A Jackknife to a Swan,The Mighty Mighty Bosstones,30804,111432,"ska, ska punk, punk, skacore, alternative",A Jackknife to a Swan,The Mighty Mighty Bosstones,31.0,2002-07-02
1084,Uncharted,Sara Bareilles,"6,4,1,5",Verse,Uncharted,Sara Bareilles,87198,624418,"female vocalists, pop, piano, Awesome, sara bareilles",Uncharted,Sara Bareilles,52.0,2010-09-07
1085,If I Die Young,The Band Perry,"6,4,1,5",Chorus,If I Die Young,The Band Perry,357223,1878068,"country, the band perry, if I die young, new country, female vocalists",If I Die Young,The Band Perry,69.0,2010-01-01
1086,A Walk In The Shire,Rob Abernethy,"6,4,1,5",Verse,A Walk in the Shire,Rob Abernethy,1,1,,,,,
1087,Peace of Mind,Boston,"6,4,1,5",Intro,Peace Of Mind,Boston,358097,1607383,"classic rock, rock, 70s, boston, hard rock",,,,
1088,No Reason,Sum 41,"6,4,1,5",Chorus,No Reason,Sum 41,250666,1699725,"punk rock, punk, rock, sum 41, pop punk",No Reason,Sum 41,57.0,2004-10-12
1089,I Will Never Be Your Friend,Irish Stew of Sindidun,"6,4,1,5",Verse and Pre-Chorus,I Will Never Be Your Friend,Irish Stew of Sindidun,110,280,,,,,
1090,Greek,Test 1,"6,4,1,5",Intro,,,,,,,,,
1091,Ghost World,Aimee Mann,"6,4,1,5",Verse,Ghost World,Aimee Mann,45905,173440,"rock, female vocalists, singer-songwriter, female, alt rock",Ghost World,Aimee Mann,23.0,2000-01-25
1092,The Good Left Undone,Rise Against,"6,4,1,5",Verse,The Good Left Undone,Rise Against,321987,2910875,"punk rock, rock, punk, melodic hardcore, hardcore",The Good Left Undone,Rise Against,52.0,2006-01-01
1093,Hey Mario,Patent Pending,"6,4,1,5",Bridge,Hey Mario,Patent Pending,6135,51675,"pop punk, video game, fun, game, love at first listen",Hey Mario,Patent Pending,44.0,2013-10-08
1094,Hit Da Blokk,Big Dope P,"6,4,1,5",Pre-Chorus,Hit Da Blokk,Big Dope P,193,422,,Hit Da Blokk,Big Dope P,2.0,2015-04-20
1095,Band Of The Hawk,Parkinson White,"6,4,1,5",Chorus,,,,,,,,,
1096,toto africa,toto,"6,4,1,5",Intro,Toto Africa,Toto,23,68,,,,,
1097,I Know You - Fifty Shades Of Grey,Skylar Grey,"6,4,1,5",Verse,,,,,,,,,
1098,Vulnerability,MitiS,"6,4,1,5",Bridge,Vulnerability,MitiS,599,3546,,,,,
1099,Born,MitiS,"6,4,1,5",Chorus,Born,MitiS,11366,70708,"dubstep, chillstep, chillout, electronic",,,,
1100,Hot N Cold,Katy Perry,"6,4,1,5",Bridge,Hot n Cold,Katy Perry,1004341,6469534,"pop, katy perry, dance, female vocalists, catchy",,,,
1101,With Me,Sum 41,"6,4,1,5",Chorus,With Me,Sum 41,394213,3088036,"punk rock, rock, punk, sum 41, gossip girl",,,,
1102,Beelzeboss,Tenacious D,"6,4,1,5",Chorus Lead-Out,Beelzeboss (The Final Showdown),Tenacious D,304507,2296961,"rock, comedy, tenacious d, metal, hard rock",Beelzeboss (The Final Showdown),Tenacious D,63.0,2006-11-02
1103,Shovel Knight - The Fateful Return,Jake Kaufman,"6,4,1,5",Verse,,,,,,,,,
1104,The Power Of Goodbye,Madonna,"6,4,1,5",Verse and Pre-Chorus,The Power of Goodbye,Madonna,81884,484673,"pop, 90s, female vocalists, Madonna, dance",,,,
1105,Broken Arrows,Avicii,"6,4,1,5",Intro and Verse,Broken Arrows,Avicii,79100,379983,"swedish, party, 2015, 2015 single, bbc radio1 playlist 2016",Broken Arrows,Avicii,65.0,2015-10-02
1106,Ner Style,Pegboard Nerds,"6,4,1,5",Verse,,,,,,,,,
1107,ARTPOP,Lady Gaga,"6,4,1,5",Chorus,ARTPOP,Lady Gaga,133769,2058444,"pop, dance, artpop, electronic, epic",ARTPOP,Lady Gaga,60.0,2013-11-11
1108,Song 6,George Ezra,"6,4,1,5",Intro and Verse,Song 6,George Ezra,30297,122313,"indie, british, folk, number",Song 6,George Ezra,37.0,2015-10-16
1109,Shake It Out,Florence and the Machine,"6,4,1,5",Intro and Verse,Shake It Out,Florence + the Machine,749581,7563838,"indie, female vocalists, indie pop, alternative, love at first listen",,,,
1110,Hello,Adele,"6,4,1,5",Chorus,Hello,Adele,429958,4401236,"soul, pop, 2015, british, female vocalists",Hello,Adele,73.0,2016-06-24
1111,Lass Liegen,Alligatoah,"6,4,1,5",Chorus,Lass liegen,Alligatoah,10166,81323,"german, Hip-Hop, hip hop, rap, Deutschrap",Lass liegen,Alligatoah,53.0,2015-11-27
1112,Tuesday's Gone,Lynyrd Skynyrd,"6,4,1,5",Intro,Tuesday's Gone,Lynyrd Skynyrd,265178,1211592,"classic rock, Southern Rock, rock, 70s, blues rock",Tuesday's Gone,Lynyrd Skynyrd,64.0,1973-01-01
1113,Windfall,TheFatRat,"6,4,1,5",Intro,Windfall,TheFatRat,22331,156862,"electronic, dance, 10s",Windfall,TheFatRat,61.0,2014-10-31
1114,It's My Life,marny kennedy,"6,4,1,5",Intro,It's My Life,Marny Kennedy,8,31,,,,,
1115,Melancholy Soldier,Antonim,"6,4,1,5",Chorus,,,,,,,,,
1116,It's My Life,marny kennedy,"6,4,1,5",Chorus,It's My Life,Marny Kennedy,8,31,,,,,
1117,It's My Life,marny kennedy,"6,4,1,5",Pre-Outro,It's My Life,Marny Kennedy,8,31,,,,,
1118,Fidelity,Regina Spektor,"6,4,1,5",Verse,Fidelity,Regina Spektor,776545,5839580,"female vocalists, indie, singer-songwriter, piano, alternative",Fidelity,Regina Spektor,55.0,2006-06-13
1119,Donkey Kong Bonus,David Wise,"6,4,1,5",Verse,,,,,,,,,
1120,Hula Hoop,OMI,"6,4,1,5",Pre-Chorus,HULA HOOP,Omi,97060,446186,"pop, dance, saxophone, deep house, jamaican",,,,
1121,Angel Eyes,Love and Theft,"6,4,1,5",Chorus,Angel Eyes,Love and Theft,51563,249221,"country, great song, Love and Tefth, seen live, catchy",Angel Eyes,Love and Theft,64.0,2012-07-24
1122,Be Right There,Diplo and Sleepy Tom,"6,4,1,5",Pre-Chorus,Be Right There,Diplo and Sleepy Tom,481,4835,,,,,
1123,Knightlife,Riggi and Piros,"6,4,1,5",Verse,Knightlife,Riggi And Piros,1,1,,,,,
1124,Fight Song,Rachel Platten,"6,4,1,5",Chorus,Fight Song,Rachel Platten,157893,1087657,"pop, american, 2015, fight song, pretty little liars",Fight Song,Rachel Platten,81.0,2016-01-01
1125,Cry Love,John Hiatt,"6,4,1,5",Chorus,Cry Love,John Hiatt,37125,113484,"blues rock, singer-songwriter, rock, folk, americana",Cry Love,John Hiatt,45.0,1995-01-01
1126,Second Time Around,Lady Gaga,"6,4,1,5",Chorus,Second Time Around,Lady Gaga,23613,404320,"Unreleased, pop, Lady Gaga, rnb, Ballad",,,,
1127,Dark Paradise,Lana Del Rey,"6,4,1,5",Chorus,Dark Paradise,Lana Del Rey,584543,6713651,"indie, pop, female vocalists, Lana Del Rey, indie pop",Dark Paradise,Lana Del Rey,61.0,2012-11-12
1128,Heavy Metal Lover,Lady Gaga,"6,4,1,5",Chorus,Heavy Metal Lover,Lady Gaga,186623,3123599,"pop, dance, electronic, whiskey mouth all over my blonde south, epic",Heavy Metal Lover,Lady Gaga,44.0,2011-01-01
1129,Break Your Heart,Taio Cruz,"6,4,1,5",Chorus,Break your Heart,Taio Cruz,632629,3061909,"taio cruz, dance, break your heart, pop, rnb",,,,
1130,Black Rock Shooter,ryo,"6,4,1,5",Verse,BLACK ROCK SHOOTER,Ryo,95,749,,,,,
1131,El Perdon,Nicky Jam and Enrique Iglesias,"6,4,1,5",Chorus,EL PERDON,Nicky Jam and Enrique Iglesias,225,947,,,,,
1132,MEMEME Final Part,Teddyloid,"6,4,1,5",Intro,,,,,,,,,
1133,Amaranth,Nightwish,"6,4,1,5",Outro,Amaranth,Nightwish,358114,3890660,"symphonic metal, Gothic Metal, metal, Power metal, Female fronted metal",Amaranth,Nightwish,47.0,2007-09-28
1134,Try,Pink,"6,4,1,5",Intro,Try,Pink,51690,519241,"P!nk, pink, try, pop, Love",,,,
1135,Try,Pink,"6,4,1,5",Verse,Try,Pink,51690,519241,"P!nk, pink, try, pop, Love",,,,
1136,Try,Pink,"6,4,1,5",Chorus,Try,Pink,51690,519241,"P!nk, pink, try, pop, Love",,,,
1137,Bad Blood,Taylor Swift,"6,4,1,5",Intro,Bad Blood,Taylor Swift,208943,2684574,"pop, Chupa essa Katy perry, boring shit talentless flop, love at first listen, taylor swift",Bad Blood,Taylor Swift,64.0,2014-10-27
1138,Get Your Shine On,Florida Georgia Line,"6,4,1,5",Intro and Verse,Get Your Shine On,Florida Georgia Line,67931,357356,"country, country cool, Driving, pop country, twang",Get Your Shine On,Florida Georgia Line,64.0,2012-01-01
1139,I JUST MET YOU,carly ray,"6,4,1,5",Chorus,,,,,,,,,
1140,The One,Deuce,"6,4,1,5",Chorus,The One,Deuce,24888,218260,"rap rock, rapcore, rock, rap metal, love at first listen",,,,
1141,Everlong,Foo Fighters,"6,4,1,5",Pre-Chorus and Chorus,Everlong,Foo Fighters,1348415,10972198,"rock, alternative rock, alternative, foo fighters, 90s",Everlong,Foo Fighters,79.0,1997-05-20
1142,Splatfest Battle - Ink Me Up,Toru Minegishi,"6,4,1,5",Verse,,,,,,,,,
1143,Casanova,Palm Trees,"6,4,1,5",Chorus,Casanova,Palm Trees,27604,87429,names of people,Casanova,Palm Trees,49.0,2015-08-21
1144,Forgettable,Project 46,"6,4,1,5",Intro,Forgettable,Project 46,3506,16252,,,,,
1145,Streaming Heart,DECO 27,"6,4,1,5",Chorus,,,,,,,,,
1146,So Lonely,The Police,"6,4,1,5",Verse,So Lonely,The Police,350203,1529680,"rock, 80s, classic rock, new wave, The Police",So Lonely,The Police,67.0,1978-11-02
1147,So Lonely,The Police,"6,4,1,5",Chorus,So Lonely,The Police,350203,1529680,"rock, 80s, classic rock, new wave, The Police",So Lonely,The Police,67.0,1978-11-02
1148,Call Your Girlfriend,Robyn,"6,4,1,5",Chorus,Call Your Girlfriend,Robyn,235990,2162717,"pop, electronic, swedish, dance, female vocalists",Call Your Girlfriend,Robyn,56.0,2010-01-01
1149,Doctor Doctor,UFO,"6,4,1,5",Intro and Verse,Doctor Doctor,UFO,140321,658368,"hard rock, classic rock, rock, heavy metal, ufo",,,,
1150,Wooden Doll,Kenshi Yonezu,"6,4,1,5",Chorus,WOODEN DOLL,米津玄師,2428,25414,"japanese, j-pop",,,,
1151,Faded,Alan Walker,"6,4,1,5",Chorus,Faded,Alan Walker,283038,2783572,"EDM, electronic, pop, dance, House",Faded,Alan Walker,79.0,2015-12-04
1152,DotA,Basshunter,"6,4,1,5",Intro,Dota,Basshunter,113796,846199,"dance, techno, electronic, trance, swedish",Dota,Basshunter,52.0,2008
1153,Splatfest Battle - Ink Me Up,Toru Minegishi,"6,4,1,5",Chorus,,,,,,,,,
1154,Spiderwebs,No Doubt,"6,4,1,5",Intro,Spiderwebs,No Doubt,395273,1880193,"ska, rock, 90s, pop, alternative",Spiderwebs,No Doubt,60.0,1995-10-10
1155,Not the Sun,Brand New,"6,4,1,5",Bridge,Not the Sun,Brand New,232707,2009001,"alternative, rock, emo, indie, indie rock",,,,
1156,Wish I Had An Angel,Nightwish,"6,4,1,5",Verse and Pre-Chorus,Wish I Had an Angel,Nightwish,388779,3680188,"symphonic metal, Gothic Metal, metal, Power metal, nightwish",,,,
1157,Wish I Had An Angel,Nightwish,"6,4,1,5",Chorus,Wish I Had an Angel,Nightwish,388779,3680188,"symphonic metal, Gothic Metal, metal, Power metal, nightwish",,,,
1158,Be My Escape,Relient K,"6,4,1,5",Pre-Chorus,Be My Escape,Relient K,222251,1445190,"christian rock, rock, christian, pop punk, Relient K",Be My Escape,Relient K,66.0,2004-11-02
1159,You're So Vain,Carly Simon,"6,4,1,5",Verse and Pre-Chorus,You're So Vain,Carly Simon,314950,1449692,"70s, female vocalists, pop, singer-songwriter, rock",You're So Vain,Carly Simon,22.0,2003-01-01
1160,Strangers,The Kinks,"6,4,1,5",Chorus,Strangers,The Kinks,225526,1038096,"60s, classic rock, rock, the darjeeling limited, Wes Anderson",Strangers,The Kinks,64.0,1970-11-27
1161,Bored To Death,Blink 182,"6,4,1,5",Chorus,,,,,,,,,
1162,Blue Moon,Beck,"6,4,1,5",Verse and Pre-Chorus,Blue Moon,Beck,239893,1139688,"indie, singer-songwriter, fip, rock, alternative rock",Blue Moon,Beck,57.0,2014-01-01
1163,Mr Crowley,Ozzy Osbourne,"6,4,1,5",Intro,Mr. Crowley,Ozzy Osbourne,401735,2233404,"heavy metal, hard rock, metal, rock, Ozzy Osbourne",Mr. Crowley,Ozzy Osbourne,55.0,1980-09-20
1164,Faded,Alan Walker,"6,4,1,5",Verse,Faded,Alan Walker,283038,2783572,"EDM, electronic, pop, dance, House",Faded,Alan Walker,79.0,2015-12-04
1165,HYPER DRIVE,nanobii,"6,4,1,5",Chorus,Hyper Drive,nanobii,14,58,,,,,
1166,No Cock Like Horse Cock,Pepper Coyote,"6,4,1,5",Verse,No Cock Like Horse Cock,Pepper Coyote,85,821,"whats this, wtf am i listening to",,,,
1167,No Cock Like Horse Cock,Pepper Coyote,"6,4,1,5",Chorus,No Cock Like Horse Cock,Pepper Coyote,85,821,"whats this, wtf am i listening to",,,,
1168,Sleep When We're Dead,ItaloBrothers,"6,4,1,5",Verse,Sleep When We're Dead,Italobrothers,973,7080,"party, german, 2015 single",,,,
1169,Sleep When We're Dead,ItaloBrothers,"6,4,1,5",Pre-Chorus,Sleep When We're Dead,Italobrothers,973,7080,"party, german, 2015 single",,,,
